cell,hours,geometry
3,20.0,"POLYGON ((-5.6 55.2, -5.5 55.2, -5.5 55.300000000000004, -5.6 55.300000000000004, -5.6 55.2))"
4,5.0,"POLYGON ((-5.6 55.3, -5.5 55.3, -5.5 55.4, -5.6 55.4, -5.6 55.3))"
7,83.0,"POLYGON ((-5.6 55.8, -5.5 55.8, -5.5 55.9, -5.6 55.9, -5.6 55.8))"
10,1.0,"POLYGON ((-5.5 55, -5.4 55, -5.4 55.1, -5.5 55.1, -5.5 55))"
11,0.0,"POLYGON ((-5.5 55.1, -5.4 55.1, -5.4 55.2, -5.5 55.2, -5.5 55.1))"
12,11.0,"POLYGON ((-5.5 55.2, -5.4 55.2, -5.4 55.300000000000004, -5.5 55.300000000000004, -5.5 55.2))"
13,93.0,"POLYGON ((-5.5 55.3, -5.4 55.3, -5.4 55.4, -5.5 55.4, -5.5 55.3))"
14,378.0,"POLYGON ((-5.5 55.4, -5.4 55.4, -5.4 55.5, -5.5 55.5, -5.5 55.4))"
15,131.0,"POLYGON ((-5.5 55.5, -5.4 55.5, -5.4 55.6, -5.5 55.6, -5.5 55.5))"
16,2.0,"POLYGON ((-5.5 55.6, -5.4 55.6, -5.4 55.7, -5.5 55.7, -5.5 55.6))"
18,48.0,"POLYGON ((-5.5 55.8, -5.4 55.8, -5.4 55.9, -5.5 55.9, -5.5 55.8))"
20,1.0,"POLYGON ((-5.4 55, -5.300000000000001 55, -5.300000000000001 55.1, -5.4 55.1, -5.4 55))"
21,4.0,"POLYGON ((-5.4 55.1, -5.300000000000001 55.1, -5.300000000000001 55.2, -5.4 55.2, -5.4 55.1))"
22,4.0,"POLYGON ((-5.4 55.2, -5.300000000000001 55.2, -5.300000000000001 55.300000000000004, -5.4 55.300000000000004, -5.4 55.2))"
23,98.0,"POLYGON ((-5.4 55.3, -5.300000000000001 55.3, -5.300000000000001 55.4, -5.4 55.4, -5.4 55.3))"
24,173.0,"POLYGON ((-5.4 55.4, -5.300000000000001 55.4, -5.300000000000001 55.5, -5.4 55.5, -5.4 55.4))"
25,148.0,"POLYGON ((-5.4 55.5, -5.300000000000001 55.5, -5.300000000000001 55.6, -5.4 55.6, -5.4 55.5))"
26,64.0,"POLYGON ((-5.4 55.6, -5.300000000000001 55.6, -5.300000000000001 55.7, -5.4 55.7, -5.4 55.6))"
27,2.0,"POLYGON ((-5.4 55.7, -5.300000000000001 55.7, -5.300000000000001 55.800000000000004, -5.4 55.800000000000004, -5.4 55.7))"
28,12.0,"POLYGON ((-5.4 55.8, -5.300000000000001 55.8, -5.300000000000001 55.9, -5.4 55.9, -5.4 55.8))"
32,5.0,"POLYGON ((-5.3 55.1, -5.2 55.1, -5.2 55.2, -5.3 55.2, -5.3 55.1))"
33,2.0,"POLYGON ((-5.3 55.2, -5.2 55.2, -5.2 55.300000000000004, -5.3 55.300000000000004, -5.3 55.2))"
34,20.0,"POLYGON ((-5.3 55.3, -5.2 55.3, -5.2 55.4, -5.3 55.4, -5.3 55.3))"
35,19.0,"POLYGON ((-5.3 55.4, -5.2 55.4, -5.2 55.5, -5.3 55.5, -5.3 55.4))"
37,13.0,"POLYGON ((-5.3 55.7, -5.2 55.7, -5.2 55.800000000000004, -5.3 55.800000000000004, -5.3 55.7))"
38,8.0,"POLYGON ((-5.3 55.8, -5.2 55.8, -5.2 55.9, -5.3 55.9, -5.3 55.8))"
42,19.0,"POLYGON ((-5.2 55, -5.1000000000000005 55, -5.1000000000000005 55.1, -5.2 55.1, -5.2 55))"
43,13.0,"POLYGON ((-5.2 55.1, -5.1000000000000005 55.1, -5.1000000000000005 55.2, -5.2 55.2, -5.2 55.1))"
44,21.0,"POLYGON ((-5.2 55.2, -5.1000000000000005 55.2, -5.1000000000000005 55.300000000000004, -5.2 55.300000000000004, -5.2 55.2))"
45,22.0,"POLYGON ((-5.2 55.3, -5.1000000000000005 55.3, -5.1000000000000005 55.4, -5.2 55.4, -5.2 55.3))"
46,34.0,"POLYGON ((-5.2 55.4, -5.1000000000000005 55.4, -5.1000000000000005 55.5, -5.2 55.5, -5.2 55.4))"
48,25.0,"POLYGON ((-5.2 55.7, -5.1000000000000005 55.7, -5.1000000000000005 55.800000000000004, -5.2 55.800000000000004, -5.2 55.7))"
