date,geartype,hours,lat,lon,vesselIDs
2012,trawlers,76.9875,55.4,-5.2,5
2012,trawlers,96.95027777777779,55.4,-5.1,5
2012,trawlers,76.41694444444445,55.3,-4.9,8
2012,trawlers,82.06916666666666,55.4,-5.3,5
2012,trawlers,183.6269444444444,55.3,-5.2,8
2012,trawlers,131.8875,55.2,-5.2,6
2012,trawlers,120.16777777777777,55.4,-5.0,8
2012,trawlers,38.532222222222224,55.3,-5.4,6
2012,trawlers,96.84388888888887,55.4,-5.4,5
2012,trawlers,146.63777777777776,55.3,-5.1,7
2012,trawlers,134.82361111111115,55.2,-5.0,8
2012,trawlers,3.8197222222222225,55.2,-4.9,2
2012,trawlers,28.556944444444444,55.5,-4.8,5
2012,trawlers,7.196944444444444,55.5,-4.7,3
2012,trawlers,21.082222222222224,55.4,-4.8,4
2012,trawlers,82.80888888888889,55.1,-5.2,5
2012,trawlers,195.92111111111112,55.3,-5.3,5
2012,set_gillnets,219.46222222222218,55.9,-4.9,1
2012,set_gillnets,31.476666666666667,55.9,-4.7,1
2012,fishing,1.9002777777777777,55.1,-5.0,1
2012,fishing,0.8419444444444445,55.1,-5.1,1
2012,fishing,102.25305555555556,56.0,-4.9,1
2012,trawlers,6.543333333333333,55.5,-5.5,1
2012,trawlers,10.1425,55.4,-5.6,1
2012,trawlers,21.324166666666667,55.4,-5.5,4
2012,trawlers,7.860833333333334,55.5,-5.4,1
2012,trawlers,19.55472222222222,55.5,-5.1,1
2012,trawlers,57.406944444444456,55.4,-4.9,6
2012,trawlers,91.58916666666667,55.1,-5.3,3
2012,trawlers,14.768611111111113,55.0,-5.2,3
2012,trawlers,25.46388888888889,55.1,-5.1,3
2012,trawlers,2.121388888888889,55.6,-5.1,1
2012,trawlers,23.107777777777777,55.6,-4.8,1
2012,trawlers,3.7605555555555554,55.7,-5.2,1
2012,trawlers,208.2419444444445,55.3,-5.0,8
2012,trawlers,66.0538888888889,55.5,-5.0,1
2012,trawlers,28.085,55.6,-5.0,1
2012,trawlers,47.30805555555556,55.2,-5.1,6
2012,trawlers,45.75638888888889,55.2,-5.3,3
2012,set_gillnets,22.458055555555557,56.0,-4.9,1
2012,fishing,56.70916666666666,55.9,-4.9,1
2012,trawlers,0.5619444444444445,55.5,-4.9,2
2012,trawlers,5.450555555555556,55.7,-4.9,1
2012,trawlers,4.722222222222222,55.6,-4.9,1
2012,set_gillnets,2.964444444444444,55.9,-5.0,1
2012,set_gillnets,100.3788888888889,56.0,-4.8,1
2012,fishing,63.44805555555555,56.1,-4.9,1
2013,trawlers,901.5377777777779,55.1,-5.3,34
2013,trawlers,693.3305555555555,55.2,-5.3,34
2013,trawlers,1271.3725,55.3,-5.1,48
2013,trawlers,690.7233333333334,55.4,-5.0,38
2013,trawlers,534.6966666666666,55.4,-5.1,28
2013,trawlers,1367.8133333333333,55.2,-5.2,47
2013,trawlers,891.0430555555555,55.4,-5.3,40
2013,trawlers,259.9286111111111,55.3,-5.4,29
2013,trawlers,1507.6516666666669,55.3,-5.2,48
2013,trawlers,773.5194444444446,55.2,-5.1,40
2013,trawlers,0.8266666666666668,55.4,-5.6,1
2013,trawlers,49.58583333333334,55.5,-5.1,5
2013,trawlers,471.36750000000006,55.6,-5.0,11
2013,trawlers,242.11666666666665,55.5,-4.9,20
2013,trawlers,3.9375,55.6,-5.5,1
2013,trawlers,1229.5275,55.1,-5.2,40
2013,trawlers,294.5866666666667,55.9,-4.9,1
2013,trawlers,509.065,55.8,-5.0,3
2013,trawlers,218.58555555555554,55.7,-4.9,8
2013,trawlers,520.991388888889,55.3,-5.0,40
2013,trawlers,80.06222222222223,55.6,-4.7,5
2013,trawlers,1545.0669444444447,55.3,-5.3,43
2013,trawlers,179.25805555555556,55.6,-5.1,8
2013,fishing,88.26027777777779,55.9,-5.1,1
