cell,hours,geometry
1,175.0,"POLYGON ((-5.6 55, -5.5 55, -5.5 55.1, -5.6 55.1, -5.6 55))"
2,105.0,"POLYGON ((-5.6 55.1, -5.5 55.1, -5.5 55.2, -5.6 55.2, -5.6 55.1))"
3,12.0,"POLYGON ((-5.6 55.2, -5.5 55.2, -5.5 55.300000000000004, -5.6 55.300000000000004, -5.6 55.2))"
4,31.0,"POLYGON ((-5.6 55.3, -5.5 55.3, -5.5 55.4, -5.6 55.4, -5.6 55.3))"
5,69.0,"POLYGON ((-5.6 55.4, -5.5 55.4, -5.5 55.5, -5.6 55.5, -5.6 55.4))"
7,1.0,"POLYGON ((-5.6 55.8, -5.5 55.8, -5.5 55.9, -5.6 55.9, -5.6 55.8))"
9,20.0,"POLYGON ((-5.6 56.1, -5.5 56.1, -5.5 56.2, -5.6 56.2, -5.6 56.1))"
10,720.0,"POLYGON ((-5.5 55, -5.4 55, -5.4 55.1, -5.5 55.1, -5.5 55))"
11,575.0,"POLYGON ((-5.5 55.1, -5.4 55.1, -5.4 55.2, -5.5 55.2, -5.5 55.1))"
12,42.0,"POLYGON ((-5.5 55.2, -5.4 55.2, -5.4 55.300000000000004, -5.5 55.300000000000004, -5.5 55.2))"
13,183.0,"POLYGON ((-5.5 55.3, -5.4 55.3, -5.4 55.4, -5.5 55.4, -5.5 55.3))"
14,8235.0,"POLYGON ((-5.5 55.4, -5.4 55.4, -5.4 55.5, -5.5 55.5, -5.5 55.4))"
15,7554.0,"POLYGON ((-5.5 55.5, -5.4 55.5, -5.4 55.6, -5.5 55.6, -5.5 55.5))"
16,3020.0,"POLYGON ((-5.5 55.6, -5.4 55.6, -5.4 55.7, -5.5 55.7, -5.5 55.6))"
17,5.0,"POLYGON ((-5.5 55.7, -5.4 55.7, -5.4 55.800000000000004, -5.5 55.800000000000004, -5.5 55.7))"
18,4.0,"POLYGON ((-5.5 55.8, -5.4 55.8, -5.4 55.9, -5.5 55.9, -5.5 55.8))"
