station;station_old;Zone;Site;Latitude;Longitude;Bottom depth (m);Buoy depth (m);Receiver ID;Date in;Date out;Detections;Status;Observations
B01;B19;Banyuls;Argelès;42,53836;3,07425;15;bottom;???;;;;;NOT IN RESMED
B02;B18;Banyuls;Cap Bear;42,51606;3,14463;27;bottom;128601;2020-07-21;2021-07-23;777;downloaded;
B02;B18;Banyuls;Cap Bear;42,51606;3,14463;27;bottom;125461;2021-07-23;;;active;
B03;B22;Banyuls;Troc;42,48096;3,14538;20;sand screw + 8;136581;2020-07-10;2021-03-05;9496;downloaded;
B03;B22;Banyuls;Troc;42,48096;3,14538;20;sand screw + 8;136581;2021-03-05;;;active;
B04;B15;Banyuls;Abeille Nord;42,47933;3,15405;20;bottom;136579;2020-07-10;2021-03-02;9069;downloaded;
B04;B15;Banyuls;Abeille Nord;42,47933;3,15405;20;bottom;136579;2021-03-02;;;active;
B05;B16;Banyuls;Sec a JL;42,48119;3,15683;22,5;buoy ?m;136592;2020-07-10;2021-03-02;6483;downloaded;
B05;B16;Banyuls;Sec a JL;42,48119;3,15683;22,5;buoy ?m;136592;2021-03-02;;;active;
B06;B20;Banyuls;Sec a JL;42,48070;3,15900;24;9,5;136591;2020-07-10;2021-06-30;32225;downloaded;
B06;B20;Banyuls;Sec a JL;42,48070;3,15900;24;9,5;136582;2021-06-30;;;active;
B07;B14;Banyuls;Abeille;42,47800;3,15660;21;buoy ?m;136593;2020-07-10;2021-02-26;6223;downloaded;
B07;B14;Banyuls;Abeille;42,47800;3,15660;21;buoy ?m;136593;2021-02-26;;;active;
B08;B13;Banyuls;Abeille Sud;42,47630;3,15783;15;13;136575;2020-07-10;2021-02-26;37939;downloaded;
B08;B13;Banyuls;Abeille Sud;42,47630;3,15783;15;13;136575;2021-02-26;;;active;
B09;B12;Banyuls;Tynies;42,47368;3,15685;14;bottom;136584;2020-07-09;2021-06-30;70870;downloaded;
B09;B12;Banyuls;Tynies;42,47368;3,15685;14;bottom;136587;2021-06-30;;;active;
B10;B21;Banyuls;Tancade;42,47063;3,15800;15;sand screw + 7;136594;2020-07-09;2021-07-23;44291;downloaded;
B10;B21;Banyuls;Tancade;42,47063;3,15800;15;sand screw + 7;136590;2021-07-23;;;active;
B11;B11;Banyuls;Nord integral;42,46830;3,16053;16;8;136583;2020-07-09;2021-03-29;27540;downloaded;
B11;B11;Banyuls;Nord integral;42,46830;3,16053;16;8;128600;2021-03-29;;;active;
B12;B10;Banyuls;Nord integral;42,46786;3,16335;23;9;136576;2020-07-09;2021-06-25;62109;downloaded;
B12;B10;Banyuls;Nord integral;42,46786;3,16335;23;9;136589;2021-06-25;;;active;
B13;B9;Banyuls;Rederis;42,46743;3,16643;23;8;136590;2020-07-09;2021-06-25;38020;downloaded;
B13;B9;Banyuls;Rederis;42,46743;3,16643;23;8;136577;2021-06-25;;;active;
B14;B8;Banyuls;Rederis;42,46782;3,16938;33;11;136578;2020-07-09;2021-03-30;38872;downloaded;
B14;B8;Banyuls;Rederis;42,46782;3,16938;33;11;136588;2021-03-30;;;active;
B15;B17;Banyuls;Cap Rederis;42,46612;3,16335;13;6;136580;2020-07-10;2021-06-30;41337;downloaded;
B15;B17;Banyuls;Cap Rederis;42,46612;3,16335;13;6;136578;2021-06-30;;;active;
B16;B6;Banyuls;Rederis;42,46566;3,16779;16;8;136589;2020-07-08;2021-03-30;16605;downloaded;
