InputID,TargetID,Distance
B02,B03,3899.49972086943
B02,B04,4152.90688552461
B02,B05,4001.17808634359
B02,B06,4101.66487706829
B02,B07,4340.80979138579
B02,B08,4547.99817831204
B02,B09,4813.67901365768
B02,B10,5164.80099589005
B02,B11,5463.97002085141
B02,B12,5570.97744597367
B02,B13,5691.48871941552
B02,B14,5731.92236794061
B02,B15,5756.9927960689
B02,B16,5913.48237909189
B02,B17,5971.20419666664
B02,B18,5974.92200434049
B02,B19,6105.74599455164
B02,B20,6390.85911294556
B02,B21,6656.36905837396
B02,B22,6855.40074722763
B02,B23,8892.75490869213
B02,B24,9457.69385929876
B02,B25,12851.6907200469
B03,B02,3899.49972086961
B03,B04,735.52551903792
B03,B05,941.809062391455
B03,B06,1120.2648197628
B03,B07,979.416128784545
B03,B08,1147.15793760596
B03,B09,1242.38563949601
B03,B10,1547.14072900178
B03,B11,1878.76443611691
B03,B12,2073.93414386872
B03,B13,2292.42448705937
B03,B14,2454.69447411751
B03,B15,2213.85321590131
B03,B16,2506.92145453713
B03,B17,2647.2422599106
B03,B18,2434.78583387153
B03,B19,2466.74445196011
B03,B20,2738.37410492436
B03,B21,3055.62397581527
B03,B22,3288.85213849489
B03,B23,5310.01231002782
B03,B24,5788.765470774
B03,B25,9008.80268633769
B04,B02,4152.9068855246
B04,B03,735.525519037862
B04,B05,308.123942092022
B04,B06,434.53498078513
B04,B07,256.499956103624
B04,B08,458.144723294003
B04,B09,668.516515169077
B04,B10,1019.54334673238
B04,B11,1336.10071696889
B04,B12,1486.01773324127
B04,B13,1668.47458969631
B04,B14,1795.53076411034
B04,B15,1654.7368664811
B04,B16,1892.75700951998
B04,B17,2008.24158983138
B04,B18,1879.60950371283
B04,B19,1972.23535370498
B04,B20,2256.71342430945
B04,B21,2545.43270599617
B04,B22,2763.19251460877
B04,B23,4811.46409508231
B04,B24,5338.30792018145
B04,B25,8701.40524663282
B05,B02,4001.17808634339
B05,B03,941.809062391459
B05,B04,308.123942091697
B05,B06,186.543606705459
B05,B07,354.857816977612
B05,B08,549.382216773645
B05,B09,834.231667683679
B05,B10,1176.97040468402
B05,B11,1463.82306850133
B05,B12,1574.80887809459
B05,B13,1720.32056442624
B05,B14,1808.53458859271
B05,B15,1757.7798795502
B05,B16,1946.3602380684
B05,B17,2036.47717142161
B05,B18,1978.1292724621
B05,B19,2105.26996473341
B05,B20,2390.15637252032
B05,B21,2657.56923157333
B05,B22,2862.76619286734
B05,B23,4909.56187212165
B05,B24,5459.54104068804
B05,B25,8876.69164981627
B06,B02,4101.66487706815
B06,B03,1120.26481976279
B06,B04,434.53498078527
B06,B05,186.543606705457
B06,B07,359.023525013717
B06,B08,498.141729222198
B06,B09,799.589141109709
B06,B10,1121.61947661174
B06,B11,1383.15721278716
B06,B12,1470.47195379021
B06,B13,1595.67441358807
B06,B14,1666.01792925818
B06,B15,1658.61672538582
B06,B16,1820.34835033127
B06,B17,1898.54387675636
B06,B18,1874.17899976928
B06,B19,2019.51247476149
B06,B20,2302.46809834854
B06,B21,2556.2509758425
B06,B22,2753.79499734206
B06,B23,4794.88971625388
B06,B24,5356.33920999787
B06,B25,8803.73301615672
B07,B02,4340.80979138529
B07,B03,979.41612878437
B07,B04,256.499956103665
B07,B05,354.857816977475
B07,B06,359.023525013689
B07,B08,214.220208531839
B07,B09,480.316675237382
B07,B10,826.733126051136
B07,B11,1124.92304561427
B07,B12,1255.72299908396
B07,B13,1425.50579892887
B07,B14,1543.78203532847
B07,B15,1431.65173465655
B07,B16,1650.9937531122
B07,B17,1759.98360013619
B07,B18,1655.10242848642
B07,B19,1766.33994864206
B07,B20,2051.62197835892
B07,B21,2328.98320966222
B07,B22,2540.907063967
B07,B23,4590.08413245581
B07,B24,5128.65990396608
B07,B25,8527.0837804491
B08,B02,4547.9981783125
B08,B03,1147.15793760587
B08,B04,458.144723293901
B08,B05,549.382216773544
B08,B06,498.14172922211
B08,B07,214.220208531982
B08,B09,301.98733220941
B08,B10,629.99281973993
B08,B11,915.978016675318
B08,B12,1041.65037459897
B08,B13,1212.84405628417
B08,B14,1337.71638408055
B08,B15,1218.53179770444
B08,B16,1437.99206958934
B08,B17,1550.30134152959
B08,B18,1441.58935812651
B08,B19,1557.76589937554
B08,B20,1842.93177591316
B08,B21,2116.75297306105
B08,B22,2327.46967554326
