InputID,TargetID,Distance
C01,C02,885.491526397849
C01,C03,4512.17627841259
C01,C04,5182.19704093298
C01,C05,6830.48015619584
C01,C06,6881.48813517398
C01,C07,7430.64559020306
C01,C08,7942.2564610269
C01,C09,8332.74863074273
C01,C10,8612.38628391383
C01,C11,11783.7483831722
C01,C12,12163.5577209593
C01,C13,12512.5846248748
C01,C14,12391.9993971821
C01,C15,12726.039975285
C01,C17,13000.1559484288
C01,C18,13181.754877874
C01,C19,13358.0906574232
C01,C20,12593.6800443749
C01,C22,12667.368406949
C01,C23,13140.4509601846
C01,C24,12758.1532683008
C01,C25,14162.1107956903
C01,C26,14544.2838691261
C01,C27,14845.2629830294
C01,C28,14946.0328103897
C01,C29,14728.2261497559
C01,C30,14551.0131239318
C01,C31,14034.1438957006
C01,C32,14169.6633889473
C02,C01,885.491526397789
C02,C03,3663.74556335122
C02,C04,4319.0673126086
C02,C05,5947.47852491334
C02,C06,6006.15405582858
C02,C07,6557.71339813559
C02,C08,7066.65339182917
C02,C09,7457.35306350219
C02,C10,7735.49518756141
C02,C11,10902.6006719691
C02,C12,11281.9266409934
C02,C13,11630.5112101993
C02,C14,11508.0628135531
C02,C15,11842.7108415626
C02,C17,12117.6518578339
C02,C18,12298.1194202003
C02,C19,12475.0517439823
C02,C20,11708.971974947
C02,C22,11803.9480536661
C02,C23,12277.7729254435
C02,C24,11913.3955457617
C02,C25,13422.7798647705
C02,C26,13858.8551876858
C02,C27,14172.1978814515
C02,C28,14288.0825642132
C02,C29,14076.8104430737
C02,C30,13907.5084248623
C02,C31,13502.2358267592
C02,C32,13678.0281616849
C03,C01,4512.17627841261
C03,C02,3663.74556335121
C03,C04,721.792160233795
C03,C05,2548.16269679607
C03,C06,2460.57918284943
C03,C07,2978.12272770631
C03,C08,3504.10011566129
C03,C09,3888.24037000953
C03,C10,4177.78245826028
C03,C11,7370.78430894697
C03,C12,7755.09163941691
C03,C13,8108.75730987204
C03,C14,8025.14730393146
C03,C15,8343.12355452357
C03,C17,8600.70008192536
C03,C18,8802.91494726988
C03,C19,8966.23390264472
C03,C20,8249.5703360736
C03,C22,8902.13568230026
C03,C23,9374.29562632885
C03,C24,9233.59188019999
C03,C25,11589.1453680986
C03,C26,12373.1963324096
C03,C27,12753.46791553
C03,C28,12959.0003551218
C03,C29,12795.5568855029
C03,C30,12680.7366587783
C03,C31,12920.6650931346
C03,C32,13296.8202539777
C04,C01,5182.19704093294
C04,C02,4319.0673126086
C04,C03,721.792160233663
C04,C05,1834.02417795583
C04,C06,1741.3352926424
C04,C07,2267.24387114505
C04,C08,2790.63799720091
C04,C09,3177.06140260114
C04,C10,3464.77869116278
C04,C11,6657.18603084462
C04,C12,7041.06711158851
C04,C13,7394.28874383351
C04,C14,7306.71833277293
C04,C15,7626.30742784858
C04,C17,7885.91460952332
C04,C18,8085.90945503271
C04,C19,8250.69343165123
C04,C20,7529.70327617756
C04,C22,8215.71003621412
C04,C23,8686.25253856561
C04,C24,8574.97808461247
C04,C25,11050.1601959933
C04,C26,11888.658842553
C04,C27,12278.0844131381
C04,C28,12497.9501480412
C04,C29,12344.003858911
C04,C30,12239.6344637217
C04,C31,12595.3423727877
C04,C32,13005.8550677041
C05,C01,6830.48015619585
C05,C02,5947.47852491333
C05,C03,2548.16269679585
C05,C04,1834.02417795579
C05,C06,493.285240374564
C05,C07,869.440564141716
C05,C08,1228.74131792429
C05,C09,1599.85073370938
C05,C10,1844.57189513558
C05,C11,4958.47339413138
C05,C12,5336.18251187615
C05,C13,5683.73970565575
C05,C14,5562.77917180024
C05,C15,5895.60802445457
C05,C17,6170.30330069899
C05,C18,6351.66671437974
C05,C19,6527.63719318614
C05,C20,5769.65534861727
C05,C22,6410.16614586962
C05,C23,6877.36837509883
C05,C24,6822.76818427935
C05,C25,9565.67762139557
C05,C26,10532.6236075961
C05,C27,10941.6387299267
C05,C28,11195.459881468
C05,C29,11066.6182176885
C05,C30,10989.4788739542
C05,C31,11635.4172733135
C05,C32,12128.8154649334
C06,C01,6881.48813517405
C06,C02,6006.15405582862
C06,C03,2460.57918284935
C06,C04,1741.33529264236
C06,C05,493.285240374684
C06,C07,562.065684941929
C06,C08,1060.77549241099
C06,C09,1451.29728349378
C06,C10,1732.41518356457
C06,C11,4919.92529466864
C06,C12,5303.12843980191
C06,C13,5655.73080709133
C06,C14,5565.38488050971
C06,C15,5885.56676544195
C06,C17,6146.91403790715
C06,C18,6345.03131976252
C06,C19,6510.89989610409
C06,C20,5788.99254837648
C06,C22,6670.36060124112
C06,C23,7131.06923257385
C06,C24,7136.03990175453
C06,C25,9985.63560011438
C06,C26,10978.4776731454
C06,C27,11390.3985478629
C06,C28,11649.443200131
C06,C29,11524.4966054566
C06,C30,11451.2268571395
C06,C31,12122.5254733911
C06,C32,12619.2309129152
C07,C01,7430.64559020302
C07,C02,6557.71339813567
C07,C03,2978.12272770625
C07,C04,2267.24387114503
C07,C05,869.440564141814
C07,C06,562.06568494193
C07,C08,528.544934703145
C07,C09,910.188962712465
C07,C10,1200.13253946915
C07,C11,4392.83839015788
C07,C12,4777.30686544614
C07,C13,5131.20628769069
C07,C14,5055.41315256268
C07,C15,5368.59112315725
C07,C17,5623.33176087674
C07,C18,5828.62407583841
C07,C19,5989.54662764541
C07,C20,5287.04821111983
C07,C22,6359.83787628638
C07,C23,6811.24996772155
