fid,InputID,TargetID,Distance
"1",M01,M02,2227.97817399836
"2",M01,M03,4029.68946674072
"3",M01,M04,4891.97191243753
"4",M01,M05,5177.03350397973
"5",M01,M06,5506.19902547588
"6",M01,M07,5860.59622187558
"7",M01,M08,6045.59808373085
"8",M01,M09,5941.76384963401
"9",M01,M10,6315.53150746506
"10",M01,M11,6495.66635129287
"11",M01,M12,6739.37193362483
"12",M01,M13,6856.45490757752
"13",M01,M14,7114.40261705351
"14",M01,M15,7158.01793971073
"15",M01,M16,7336.1959281053
"16",M01,M17,7452.77775728961
"17",M01,M18,7268.27638709088
"18",M01,M19,7062.97858133553
"19",M01,M20,6713.18536945346
"20",M01,M21,6333.15032865045
"21",M01,M22,5564.79476327134
"22",M01,M23,6300.69672817943
"23",M01,M24,7050.09770473664
"24",M01,M25,7688.39572418429
"25",M01,M26,8498.33010171772
"26",M01,M27,9280.68845161729
"27",M02,M01,2227.9781739984
"28",M02,M03,1801.71144040132
"29",M02,M04,2670.01013541018
"30",M02,M05,2968.28971837267
"31",M02,M06,3302.16478809578
"32",M02,M07,3657.16224111523
"33",M02,M08,3832.1465039186
"34",M02,M09,3717.62216599744
"35",M02,M10,4088.39660966364
"36",M02,M11,4268.04196515717
"37",M02,M12,4512.18617956347
"38",M02,M13,4634.38506992733
"39",M02,M14,4889.66856773916
"40",M02,M15,4936.85089725351
"41",M02,M16,5111.42340979545
"42",M02,M17,5232.38233300897
"43",M02,M18,5054.43806010338
"44",M02,M19,4855.6902735539
"45",M02,M20,4514.28794943385
"46",M02,M21,4138.49274319837
"47",M02,M22,3449.04531600235
"48",M02,M23,4178.35160541736
"49",M02,M24,4975.36345900642
"50",M02,M25,5676.00834639927
"51",M02,M26,6496.7585925159
"52",M02,M27,7265.512872648
"53",M03,M01,4029.68946674075
"54",M03,M02,1801.71144040119
"55",M03,M04,895.01655912822
"56",M03,M05,1233.38921173087
"57",M03,M06,1569.66076973772
"58",M03,M07,1916.8955741876
"59",M03,M08,2064.8975419103
"60",M03,M09,1925.37146479955
"61",M03,M10,2288.50849661347
"62",M03,M11,2467.04709324257
"63",M03,M12,2712.01493683573
"64",M03,M13,2844.07894267472
"65",M03,M14,3093.89634499967
"66",M03,M15,3147.55158989444
"67",M03,M16,3315.35757832098
"68",M03,M17,3443.82676732738
"69",M03,M18,3277.99883262508
"70",M03,M19,3092.23553048617
"71",M03,M20,2769.97573885792
"72",M03,M21,2408.53020044768
"73",M03,M22,1931.65599034968
"74",M03,M23,2594.38522903574
"75",M03,M24,3440.08664842982
"76",M03,M25,4209.87575040813
"77",M03,M26,5019.00827944928
"78",M03,M27,5751.26809023948
"79",M04,M01,4891.97191243728
"80",M04,M02,2670.01013541003
"81",M04,M03,895.016559128471
"82",M04,M05,364.393796148689
"83",M04,M06,686.584085535573
"84",M04,M07,1025.41267384738
"85",M04,M08,1170.66241739842
"86",M04,M09,1050.64623062072
"87",M04,M10,1434.71913268879
"88",M04,M11,1619.32828784293
"89",M04,M12,1856.76913200005
"90",M04,M13,1964.75021881583
"91",M04,M14,2223.14236281014
"92",M04,M15,2266.92350981603
"93",M04,M16,2444.88583560059
"94",M04,M17,2562.37501469934
"95",M04,M18,2388.03636006707
"96",M04,M19,2198.21817960312
"97",M04,M20,1875.38495910525
"98",M04,M21,1517.44825763477
"99",M04,M22,1215.01516176589
"100",M04,M23,1777.4933017934
"101",M04,M24,2628.30426324716
"102",M04,M25,3419.66032408518
"103",M04,M26,4211.5846306582
"104",M04,M27,4921.31362548813
"105",M05,M01,5177.03350397961
"106",M05,M02,2968.28971837276
"107",M05,M03,1233.38921173052
"108",M05,M04,364.393796148426
"109",M05,M06,337.56101735954
"110",M05,M07,690.518637515266
"111",M05,M08,869.870027850229
"112",M05,M09,819.197995245805
"113",M05,M10,1221.12553760229
"114",M05,M11,1407.55811882595
"115",M05,M12,1628.08063445518
"116",M05,M13,1695.83853580963
"117",M05,M14,1965.5387813319
"118",M05,M15,1992.05291506737
"119",M05,M16,2185.22120047424
"120",M05,M17,2283.49196166992
"121",M05,M18,2091.51075801967
"122",M05,M19,1887.72682851275
"123",M05,M20,1548.42003393743
"124",M05,M21,1178.87466661392
"125",M05,M22,888.624978654246
"126",M05,M23,1414.05131697559
"127",M05,M24,2264.47924961027
"128",M05,M25,3057.19568407494
"129",M05,M26,3847.51322365467
"130",M05,M27,4557.13916622335
"131",M06,M01,5506.19902547617
"132",M06,M02,3302.16478809568
"133",M06,M03,1569.66076973774
"134",M06,M04,686.584085535225
"135",M06,M05,337.561017359487
"136",M06,M07,355.032106477704
"137",M06,M08,554.838166601445
"138",M06,M09,580.026502911205
"139",M06,M10,971.799887763466
"140",M06,M11,1152.78565262621
"141",M06,M12,1353.3789527751
"142",M06,M13,1389.72270200817
"143",M06,M14,1664.59978443402
"144",M06,M15,1679.60028618816
"145",M06,M16,1881.22307145128
"146",M06,M17,1967.12649360288
"147",M06,M18,1766.37682643933
"148",M06,M19,1556.78211322949
"149",M06,M20,1212.49331725847
"150",M06,M21,841.351518449604
"151",M06,M22,749.508127022722
"152",M06,M23,1129.60754899481
"153",M06,M24,1971.20606205814
"154",M06,M25,2770.92601388926
"155",M06,M26,3548.79955744576
"156",M06,M27,4245.98559176959
"157",M07,M01,5860.59622187607
"158",M07,M02,3657.16224111476
"159",M07,M03,1916.89557418731
"160",M07,M04,1025.41267384706
"161",M07,M05,690.518637515362
"162",M07,M06,355.032106477445
"163",M07,M08,242.209095492199
"164",M07,M09,425.023049455856
"165",M07,M10,735.312309478003
"166",M07,M11,896.844363136016
"167",M07,M12,1063.34970958918
"168",M07,M13,1059.93234319882
"169",M07,M14,1338.07215455134
"170",M07,M15,1340.73913986262
"171",M07,M16,1549.95721517222
"172",M07,M17,1623.48050881373
"173",M07,M18,1415.8041469738
"174",M07,M19,1202.68432461302
"175",M07,M20,857.938100585984
"176",M07,M21,492.05361695026
"177",M07,M22,805.850201231758
"178",M07,M23,918.127853068797
"179",M07,M24,1718.64790722228
"180",M07,M25,2521.42691370341
"181",M07,M26,3275.82001021423
"182",M07,M27,3951.36088327964
"183",M08,M01,6045.598083731
"184",M08,M02,3832.14650391857
"185",M08,M03,2064.89754191015
"186",M08,M04,1170.66241739821
"187",M08,M05,869.87002785008
"188",M08,M06,554.838166601109
"189",M08,M07,242.209095492196
"190",M08,M09,285.907274471035
"191",M08,M10,503.119909941593
"192",M08,M11,657.088814433348
"193",M08,M12,821.853414036972
"194",M08,M13,835.053578224954
"195",M08,M14,1110.78403752145
"196",M08,M15,1125.42578749516
"197",M08,M16,1326.58727032881
"198",M08,M17,1414.72799371228
"199",M08,M18,1222.84637788544
"200",M08,M19,1027.55613439076
"201",M08,M20,718.059334920154
"202",M08,M21,416.845809219936
"203",M08,M22,1032.1085810645
"204",M08,M23,1012.71578883537
"205",M08,M24,1747.94060801641
"206",M08,M25,2543.25107985559
"207",M08,M26,3267.74427072894
"208",M08,M27,3914.91600677179
"209",M09,M01,5941.76384963382
"210",M09,M02,3717.62216599768
"211",M09,M03,1925.37146479927
"212",M09,M04,1050.64623062082
"213",M09,M05,819.197995245561
"214",M09,M06,580.026502911007
"215",M09,M07,425.023049455923
"216",M09,M08,285.907274470772
"217",M09,M10,402.262504017077
"218",M09,M11,588.424832244936
"219",M09,M12,812.642991968143
"220",M09,M13,918.7120049181
"221",M09,M14,1172.68947091613
"222",M09,M15,1222.23302836411
"223",M09,M16,1394.47402425254
"224",M09,M17,1518.54975763633
"225",M09,M18,1362.75098966488
"226",M09,M19,1201.15911010044
"227",M09,M20,943.226862883206
"228",M09,M21,692.81683766992
"229",M09,M22,1219.67523492557
"230",M09,M23,1293.26401819789
"231",M09,M24,2032.50932304183
"232",M09,M25,2825.99564539635
"233",M09,M26,3542.57423707772
"234",M09,M27,4178.11309122354
"235",M10,M01,6315.53150746507
"236",M10,M02,4088.39660966338
"237",M10,M03,2288.50849661339
"238",M10,M04,1434.71913268849
"239",M10,M05,1221.12553760218
"240",M10,M06,971.799887763364
"241",M10,M07,735.312309478027
"242",M10,M08,503.119909941568
"243",M10,M09,402.262504016785
"244",M10,M11,186.748594349409
"245",M10,M12,423.845356065068
"246",M10,M13,595.16904162248
"247",M10,M14,813.105055077192
"248",M10,M15,890.250543961812
"249",M10,M16,1032.22949122039
"250",M10,M17,1182.03396689564
"251",M10,M18,1069.65230282696
"252",M10,M19,962.391963529587
"253",M10,M20,820.276826381457
"254",M10,M21,742.903192714685
"255",M10,M22,1535.07428150978
"256",M10,M23,1433.26002185653
"257",M10,M24,2052.86259372549
"258",M10,M25,2814.62181337074
"259",M10,M26,3474.50085951822
"260",M10,M27,4059.34510539869
"261",M11,M01,6495.66635129282
"262",M11,M02,4268.04196515717
"263",M11,M03,2467.04709324264
"264",M11,M04,1619.32828784306
"265",M11,M05,1407.55811882592
"266",M11,M06,1152.78565262613
"267",M11,M07,896.84436313595
"268",M11,M08,657.088814433329
"269",M11,M09,588.424832245134
"270",M11,M10,186.748594349065
"271",M11,M12,248.545817734359
"272",M11,M13,471.196165878109
"273",M11,M14,652.095484309802
"274",M11,M15,746.440978482521
"275",M11,M16,866.209133112728
"276",M11,M17,1029.9183788216
"277",M11,M18,946.030031881997
"278",M11,M19,875.52169651547
"279",M11,M20,808.131657615142
"280",M11,M21,818.740193604936
"281",M11,M22,1684.44762323821
"282",M11,M23,1514.94908051816
"283",M11,M24,2071.16378555215
"284",M11,M25,2810.9674851565
"285",M11,M26,3440.5826561378
"286",M11,M27,3999.40858251239
"287",M12,M01,6739.3719336249
"288",M12,M02,4512.18617956312
"289",M12,M03,2712.01493683579
"290",M12,M04,1856.76913200019
"291",M12,M05,1628.08063445534
"292",M12,M06,1353.37895277513
