Included in VUE,Tag model,Serial No. ,ID Code,Detecciones,VUE Tag ID,Tag life (days),Species,Length,Zone,Capture Lat,Latitude,Longitude,Capture Long,Location name,Capture date,Recapture date,Hour ini,Hour end,Release Lat,Release Long,Fishing type,External tag colour,External tag ID,Observation,PROBLEMS
Si,V13,1355966,54170,,A69-1602-54170,631,Dicentrarchus labrax,35,Badia de roses,4213428,42.13428,3.12749,312749,,20200826,,11:00,17:15,"4,213,428","312,749",Palangre,Vermell,11,"La pesca enMarc Castells, ens la guarda i anem a la tarda a marcarla",
Si,V13,1355967,54171,,A69-1602-54171,631,Sparus aurata,25,Badia de roses,"4,213,428",,,"312,749",,20200826,,12:15,12:30,"4,213,428","312,749",Palangre,,,Bon estat,
Si,V13,1355968,54172,,A69-1602-54172,631,Sparus aurata,42,Badia de roses,"4,216,244",,,"311,939",,20200824,,20:51,21:38,"4,291,233","317,767",Nansa,,,Una mica tocada perl temps de captura dins la nansa,
Si,V13P,1356097,16214,55000,A69-9007-16214,446,Dicentrarchus labrax,47,Medes,4204178,42.04178,3.22366,322366,Meda petita,20200916,,21:25,21:45,"4,204,178","322,366",palangre amb mascarat,Vermell,64,,
Si,V13,1355970,54174,,A69-1602-54174,631,Sparus aurata,28,Badia de roses,"4,213,428",,,"312,749",,20200826,,12:10,12:33,"4,213,428","312,749",Palangre,Vermell,7,Bon estat,
Si,V13P,1356098,16215,115000,A69-9007-16215,446,Dicentrarchus labrax,47,Medes,4204178,42.04178,3.22366,322366,Meda petita,20200916,,20:30,21:20,"4,204,178","322,366",palangre amb mascarat,Vermell,65,,
,V9,1355972,40691,,A69-1602-40691,503,,,,,,,,,,,,,,,,,,,
Si,V9P,1356027,16255,,A69-9007-16255,323,Dicentrarchus labrax,45,Medes,4204410,42.04410,3.22000,322000,Meda Gran,20200917,,20:40,22:02,"4,204,410","322,000",Palangre Miquel,vermell,60,,
Si,V9,1355974,40693,,A69-1602-40693,503,Scorpaena scrofa,51,Medes,"4,204,906",,,"321,640",Boia perimetral Guix,20201224,,10:00,11:40,"4,204,906","321,640",Canya,Vermell,51,,
Si,V9,1355975,40694,,A69-1602-40694,503,Sparus aurata,32,Medes,"4,203,893",,,"320,138",Entre Griells i Pletera,20201231,,07:30,09:05,"4,203,893","320,138",Tresmall,Vermell,50,Pescat Per Joan Massagué. Marcada amb pinguer 84 kHz,
,V9,1355976,40695,,A69-1602-40695,503,Sphyraena viridensis,54,Cap de Creus,"4,232,378",,,"332,393",,20212107,,11:40,11:52,"4,232,378","332,393",Canya,Vermell,146,,
,V9,1355977,40696,,A69-1602-40696,503,,,,,,,,,,,,,,,,,,,
Si,V9P,1356043,16271,,A69-9007-16271,323,Dicentrarchus labrax,46,Medes,4204410,42.04410,3.22000,322000,Meda Gran,20200917,,20:50,21:54,"4,204,410","322,000",Palangre,Vermell,61,Palangre Miquel,
Si,V13P,1356108,16225,139000,A69-9007-16225,446,Dicentrarchus labrax,49,Medes,4204524,42.04524,3.21897,321897,Embarcador,20200928,,08:00,11:00,"4,204,524","321,897",Palangre,Vermell,62,Pescat per Joan Massaguer. Li hem de pagar!,
Si,V9,1355979,40698,,A69-1602-40698,503,Dicentrarchus labrax,38,Riu Ter,4203508,42.03508,3.12589,312589,,20201018,,20:44,,"4,213,833","367,000",Canya,Verd,261,Pescat per Iscle,
Si,V9,1355991,40710,,A69-1602-40710,503,Dicentrarchus labrax,45,Riu Ter,4202569,42.02569,3.15219,315219,,20201018,,21:28,,"4,255,833","328,167",Canya,Verd,262,Pescat per Iscle,
Si,V9,1355978,40697,,A69-1602-40697,503,Dicentrarchus labrax,38,Riu Ter,4203214,42.03214,3.13053,313053,,20201020,,20:05,,"4,294,500","394,833",Canya,Verd,263,Pescat per Iscle. Possiblement mascle,
Si,V9,1355981,40700,,A69-1602-40700,503,Dicentrarchus labrax,40,Riu Ter,4203214,42.03214,3.13053,313053,,20201020,,21:13,,"4,294,500","394,833",Canya,Verd,264,Pescat per Iscle. Molt gras (43 cm diàmetre). Femella,
Si,V9,1355983,40702,9000,A69-1602-40702,503,Dicentrarchus labrax,43,Badia de roses,4219956,42.19956,3.11529,311529,Desenbocadura Fluvià,20201030,,09:30,11:15,"4,219,956","311,529",,,,,
Si,V9,1355985,40704,,A69-1602-40704,503,Pagrus pagrus,25,Banyuls,"4,250,319",,,"312,620",Paulille,20210506,,23:30,23:45,"4,250,319","312,620",palangre,Vermell,23,Marc Castells,
