"station";"zone";"site";"Longitude";"Latitude";"x";"y";"rec_id";"date_in";"date_out"
"B02";"Banyuls";"Cap Bear";3,14463;42,51606;511880,6472;4707086,495;128601;"21/07/2020";"23/07/2021"
"B02";"Banyuls";"Cap Bear";3,14463;42,51606;511880,6472;4707086,495;125461;"23/07/2021";""
"B03";"Banyuls";"Troc";3,14538;42,48096;511948,9369;4703189,147;136581;"10/07/2020";"05/03/2021"
"B03";"Banyuls";"Troc";3,14538;42,48096;511948,9369;4703189,147;136581;"05/03/2021";""
"B04";"Banyuls";"Abeille Nord";3,15405;42,47933;512661,8623;4703009,412;136579;"10/07/2020";"02/03/2021"
"B04";"Banyuls";"Abeille Nord";3,15405;42,47933;512661,8623;4703009,412;136579;"02/03/2021";""
"B05";"Banyuls";"Sec a JL";3,15683;42,48119;512889,9776;4703216,362;136592;"10/07/2020";"02/03/2021"
"B05";"Banyuls";"Sec a JL";3,15683;42,48119;512889,9776;4703216,362;136592;"02/03/2021";""
"B06";"Banyuls";"Sec a JL";3,159;42,4807;513068,4336;4703162,285;136591;"10/07/2020";"30/06/2021"
"B06";"Banyuls";"Sec a JL";3,159;42,4807;513068,4336;4703162,285;136582;"30/06/2021";""
"B07";"Banyuls";"Abeille";3,1566;42,478;512871,7275;4702862,115;136593;"10/07/2020";"26/02/2021"
"B07";"Banyuls";"Abeille";3,1566;42,478;512871,7275;4702862,115;136593;"26/02/2021";""
"B08";"Banyuls";"Abeille Sud";3,15783;42,4763;512973,1785;4702673,537;136575;"10/07/2020";"26/02/2021"
"B08";"Banyuls";"Abeille Sud";3,15783;42,4763;512973,1785;4702673,537;136575;"26/02/2021";""
"B09";"Banyuls";"Tynies";3,15685;42,47368;512893,163;4702382,468;136584;"09/07/2020";"30/06/2021"
"B09";"Banyuls";"Tynies";3,15685;42,47368;512893,163;4702382,468;136587;"30/06/2021";""
"B10";"Banyuls";"Tancade";3,158;42,47063;512988,3243;4702043,977;136594;"09/07/2020";"23/07/2021"
"B10";"Banyuls";"Tancade";3,158;42,47063;512988,3243;4702043,977;136590;"23/07/2021";""
"B11";"Banyuls";"Nord integral";3,16053;42,4683;513196,7914;4701785,649;136583;"09/07/2020";"29/03/2021"
"B11";"Banyuls";"Nord integral";3,16053;42,4683;513196,7914;4701785,649;128600;"29/03/2021";""
"B12";"Banyuls";"Nord integral";3,16335;42,46786;513428,7111;4701737,235;136576;"09/07/2020";"25/06/2021"
"B12";"Banyuls";"Nord integral";3,16335;42,46786;513428,7111;4701737,235;136589;"25/06/2021";""
"B13";"Banyuls";"Rederis";3,16643;42,46743;513682,006;4701689,981;136590;"09/07/2020";"25/06/2021"
"B13";"Banyuls";"Rederis";3,16643;42,46743;513682,006;4701689,981;136577;"25/06/2021";""
"B14";"Banyuls";"Rederis";3,16938;42,46782;513924,4356;4701733,765;136578;"09/07/2020";"30/03/2021"
"B14";"Banyuls";"Rederis";3,16938;42,46782;513924,4356;4701733,765;136588;"30/03/2021";""
"B15";"Banyuls";"Cap Rederis";3,16335;42,46612;513429,083;4701544,029;136580;"10/07/2020";"30/06/2021"
"B15";"Banyuls";"Cap Rederis";3,16335;42,46612;513429,083;4701544,029;136578;"30/06/2021";""
"B16";"Banyuls";"Rederis";3,16779;42,46566;513794,1986;4701493,664;136589;"08/07/2020";"30/03/2021"
"B16";"Banyuls";"Rederis";3,16779;42,46566;513794,1986;4701493,664;136583;"30/03/2021";""
"B17";"Banyuls";"Rederis";3,17014;42,46573;513987,3791;4701501,821;136587;"09/07/2020";"30/03/2021"
"B17";"Banyuls";"Rederis";3,17014;42,46573;513987,3791;4701501,821;136586;"30/03/2021";""
"B18";"Banyuls";"Cap Rederis";3,16473;42,46437;513542,9106;4701349,932;136588;"08/07/2020";"29/03/2021"
"B18";"Banyuls";"Cap Rederis";3,16473;42,46437;513542,9106;4701349,932;128606;"29/03/2021";""
"B19";"Banyuls";"Cap Rederis";3,16245;42,4627;513355,8204;4701164,137;136586;"08/07/2020";"29/03/2021"
"B19";"Banyuls";"Cap Rederis";3,16245;42,4627;513355,8204;4701164,137;125482;"29/03/2021";""
"B20";"Banyuls";"Cap Peyrefite";3,1634;42,46023;513434,4527;4700890,024;136585;"08/07/2020";"29/03/2021"
"B20";"Banyuls";"Cap Peyrefite";3,1634;42,46023;513434,4527;4700890,024;125484;"29/03/2021";""
"B21";"Banyuls";"Cap Peyrefite";3,16662;42,45839;513699,5964;4700686,229;136582;"08/07/2020";"29/03/2021"
"B21";"Banyuls";"Cap Peyrefite";3,16662;42,45839;513699,5964;4700686,229;101507;"29/03/2021";""
"B22";"Banyuls";"Cap Peyrefite";3,16891;42,45702;513888,1844;4700534,479;136577;"08/07/2020";"29/03/2021"
"B22";"Banyuls";"Cap Peyrefite";3,16891;42,45702;513888,1844;4700534,479;100683;"29/03/2021";""
"B23";"Banyuls";"Frontiere Nord";3,17902;42,44016;514723,4009;4698664,089;125468;"21/07/2020";"10/11/2021"
"B23";"Banyuls";"Frontiere Nord";3,17902;42,44016;514723,4009;4698664,089;137393;"10/11/2021";""
"B24";"Banyuls";"Frontiere Sud";3,17672;42,4343;514535,5929;4698013,013;110275;"21/07/2020";"10/11/2021"
"B24";"Banyuls";"Frontiere Sud";3,17672;42,4343;514535,5929;4698013,013;136585;"10/11/2021";""
"B25";"Banyuls";"Colera";3,16925;42,40181;513928,3578;4694404,169;125470;"21/07/2020";"15/10/2021"
"B25";"Banyuls";"Colera";3,16925;42,40181;513928,3578;4694404,169;137397;"15/10/2021";""
"C01";"Cap de Creus";"Port de la Selva Nord";3,17889;42,35595;514732,394;4689313,671;105298;"21/07/2020";"15/10/2021"
"C01";"Cap de Creus";"Port de la Selva Nord";3,17889;42,35595;514732,394;4689313,671;137395;"15/10/2021";"25/04/2022"
"C01";"Cap de Creus";"Port de la Selva Nord";3,17889;42,35595;514732,394;4689313,671;125468;"25/04/2022";""
"C02";"Cap de Creus";"Port de la Selva Sud";3,18888;42,35301;515555,8406;4688989,005;125474;"21/07/2020";"15/10/2021"
"C02";"Cap de Creus";"Port de la Selva Sud";3,18888;42,35301;515555,8406;4688989,005;137390;"15/10/2021";"25/04/2022"
"C02";"Cap de Creus";"Port de la Selva Sud";3,18888;42,35301;515555,8406;4688989,005;136576;"25/04/2022";""
"C03";"Cap de Creus";"Cap de Creus Nord";3,23328;42,3512;519213,1033;4688797,106;130679;"22/07/2020";"14/09/2021"
"C03";"Cap de Creus";"Cap de Creus Nord";3,23328;42,3512;519213,1033;4688797,106;136596;"14/09/2021";"25/04/2022"
"C03";"Cap de Creus";"Cap de Creus Nord";3,23328;42,3512;519213,1033;4688797,106;125474;"25/04/2022";""
"C04";"Cap de Creus";"Cap de Creus Nord";3,24085;42,34793;519837,6023;4688435,757;128602;"22/07/2020";"14/09/2021"
"C04";"Cap de Creus";"Cap de Creus Nord";3,24085;42,34793;519837,6023;4688435,757;136603;"14/09/2021";"25/04/2022"
"C04";"Cap de Creus";"Cap de Creus Nord";3,24085;42,34793;519837,6023;4688435,757;137389;"25/04/2022";""
"C05";"Cap de Creus";"Tres Frares";3,25788;42,3373;521243,8568;4687259,56;105302;"22/07/2020";"14/09/2021"
"C05";"Cap de Creus";"Tres Frares";3,25788;42,3373;521243,8568;4687259,56;136738;"14/09/2021";"25/04/2022"
"C05";"Cap de Creus";"Tres Frares";3,25788;42,3373;521243,8568;4687259,56;125477;"25/04/2022";""
"C06";"Cap de Creus";"Tres Frares";3,26008;42,34143;521423,6884;4687718,689;105278;"22/07/2020";"22/07/2021"
"C06";"Cap de Creus";"Tres Frares";3,26008;42,34143;521423,6884;4687718,689;136584;"22/07/2021";"25/04/2022"
"C06";"Cap de Creus";"Tres Frares";3,26008;42,34143;521423,6884;4687718,689;136763;"25/04/2022";""
"C07";"Cap de Creus";"Tres Frares";3,2669;42,34136;521985,5001;4687712,657;125473;"22/07/2020";"13/09/2021"
"C07";"Cap de Creus";"Tres Frares";3,2669;42,34136;521985,5001;4687712,657;137394;"13/09/2021";"25/04/2022"
"C07";"Cap de Creus";"Tres Frares";3,2669;42,34136;521985,5001;4687712,657;137388;"25/04/2022";""
"C08";"Cap de Creus";"Tres Frares";3,27258;42,33915;522454,1685;4687468,752;105307;"22/07/2020";"14/09/2021"
"C08";"Cap de Creus";"Tres Frares";3,27258;42,33915;522454,1685;4687468,752;136605;"14/09/2021";"25/04/2022"
"C08";"Cap de Creus";"Tres Frares";3,27258;42,33915;522454,1685;4687468,752;110275;"25/04/2022";""
"C09";"Cap de Creus";"Tres Frares";3,27723;42,33846;522837,4689;4687393,375;136595;"27/07/2020";"14/09/2021"
"C09";"Cap de Creus";"Tres Frares";3,27723;42,33846;522837,4689;4687393,375;136594;"14/09/2021";""
"C10";"Cap de Creus";"Tres Frares";3,28026;42,33706;523087,5845;4687238,743;136599;"27/07/2020";"14/09/2021"
"C10";"Cap de Creus";"Tres Frares";3,28026;42,33706;523087,5845;4687238,743;100614;"14/09/2021";"25/04/2022"
"C10";"Cap de Creus";"Tres Frares";3,28026;42,33706;523087,5845;4687238,743;136753;"25/04/2022";""
"C11";"Cap de Creus";"Encalladora";3,31619;42,32631;526051,9065;4686055,488;136598;"27/07/2020";"15/09/2021"
"C11";"Cap de Creus";"Encalladora";3,31619;42,32631;526051,9065;4686055,488;130679;"15/09/2021";"26/04/2022"
