InputID,TargetID,Distance
G01,G02,1253.20657340686
G01,G03,2144.91322686452
G01,G04,2738.13970625125
G01,G05,4111.44754843159
G01,G06,5136.02936944301
G01,G07,6133.29026811415
G01,G08,6905.80908623469
G01,G09,7697.09007952802
G01,G10,8487.25492962172
G01,G11,9293.70646509881
G01,G12,10093.8476577351
G01,G13,10816.8585070846
G01,G14,11628.7792369045
G01,G15,12343.1467083599
G01,G16,13097.0768891424
G02,G01,1253.2065734072
G02,G03,893.451357567913
G02,G04,1486.53981385933
G02,G05,2877.51873125266
G02,G06,3914.2197443035
G02,G07,4929.56048725878
G02,G08,5713.79633707721
G02,G09,6517.59016929685
G02,G10,7317.4411087499
G02,G11,8133.65403604861
G02,G12,8944.7213273999
G02,G13,9687.21666667316
G02,G14,10514.5637887154
G02,G15,11243.1322645363
G02,G16,12064.340525781
G03,G01,2144.91322686423
G03,G02,893.45135756804
G03,G04,593.279125437162
G03,G05,1994.72170489405
G03,G06,3038.54298719434
G03,G07,4065.63289777057
G03,G08,4856.96586060205
G03,G09,5668.39526742357
G03,G10,6473.76105491887
G03,G11,7295.58253492469
G03,G12,8113.18060240068
G03,G13,8868.57136183518
G03,G14,9705.69614299719
G03,G15,10443.327723492
G03,G16,11311.9226326582
G04,G01,2738.13970625179
G04,G02,1486.53981385954
G04,G03,593.279125437231
G04,G05,1421.40176820445
G04,G06,2469.88876297385
G04,G07,3506.82897449068
G04,G08,4303.3287849266
G04,G09,5120.33712095385
G04,G10,5929.34263899264
G04,G11,6754.92390068767
G04,G12,7577.10592636713
G04,G13,8342.40413359112
G04,G14,9186.61967909206
G04,G15,9930.8005021983
G04,G16,10835.7056788032
G05,G01,4111.44754843126
G05,G02,2877.51873125272
G05,G03,1994.72170489422
G05,G04,1421.40176820468
G05,G06,1048.74102003575
G05,G07,2089.81994140853
G05,G08,2889.11521489043
G05,G09,3709.81861668067
G05,G10,4521.11075575841
G05,G11,5349.35021697181
G05,G12,6175.30577744625
G05,G13,6950.85327215922
G05,G14,7802.65091050526
G05,G15,8554.27010141963
G05,G16,9510.6991517346
G06,G01,5136.02936944324
G06,G02,3914.2197443032
G06,G03,3038.54298719453
G06,G04,2469.88876297368
G06,G05,1048.74102003569
G06,G07,1046.65588033741
G06,G08,1847.6056473754
G06,G09,2670.98187288009
G06,G10,3483.37084463595
G06,G11,4313.16884947679
G06,G12,5141.75058331134
G06,G13,5925.75709602761
G06,G14,6783.28997975006
G06,G15,7540.52410737955
G06,G16,8540.32332324598
G07,G01,6133.29026811416
G07,G02,4929.56048725866
G07,G03,4065.6328977701
G07,G04,3506.82897449097
G07,G05,2089.81994140827
G07,G06,1046.65588033721
G07,G08,800.951288111798
G07,G09,1624.55473253555
G07,G10,2436.99510451828
G07,G11,3267.0062114583
G07,G12,4096.19536734516
G07,G13,4883.66033609085
G07,G14,5743.953340568
G07,G15,6504.1723844692
G07,G16,7535.42310718214
G08,G01,6905.80908623447
G08,G02,5713.79633707756
G08,G03,4856.9658606022
G08,G04,4303.32878492655
G08,G05,2889.11521489043
G08,G06,1847.60564737527
G08,G07,800.951288112016
G08,G09,824.066647826652
G08,G10,1636.41878171709
G08,G11,2466.6217147946
G08,G12,3296.42917140676
G08,G13,4087.52040598432
G08,G14,4950.38092629874
G08,G15,5713.29138565569
G08,G16,6774.2870846468
